"날짜","현재가","오픈","고가","저가","거래량","변동 %"
"2015년 04월 29일","268.03","269.54","269.76","265.92","117.33K","-0.19%"
"2015년 04월 28일","268.55","270.63","270.93","268.10","100.58K","-0.56%"
"2015년 04월 27일","270.05","272.16","272.29","269.29","92.88K","-0.37%"
"2015년 04월 24일","271.05","273.81","275.11","270.33","144.05K","-0.56%"
"2015년 04월 23일","272.59","270.27","272.78","268.85","134.66K","1.47%"
"2015년 04월 22일","268.64","268.20","270.65","267.22","136.29K","0.18%"
"2015년 04월 21일","268.17","269.03","269.13","267.56","102.40K","-0.14%"
"2015년 04월 20일","268.55","266.14","268.59","266.14","100.12K","0.10%"
"2015년 04월 17일","268.28","268.73","268.81","267.42","90.56K","-0.06%"
"2015년 04월 16일","268.45","267.67","268.45","266.42","113.93K","1.01%"
"2015년 04월 15일","265.77","265.76","266.41","264.93","111.94K","0.08%"
"2015년 04월 14일","265.57","263.81","265.60","263.20","151.05K","0.79%"
"2015년 04월 13일","263.48","262.62","263.75","262.11","123.22K","0.58%"
"2015년 04월 10일","261.95","259.35","262.20","259.20","104.47K","1.40%"
"2015년 04월 09일","258.33","258.44","259.21","257.61","85.94K","-0.07%"
"2015년 04월 08일","258.51","257.09","258.81","256.83","99.68K","0.63%"
"2015년 04월 07일","256.88","258.65","258.68","256.61","74.99K","-0.02%"
"2015년 04월 06일","256.93","257.20","258.43","256.34","79.39K","0.07%"
"2015년 04월 03일","256.75","255.77","256.92","255.05","67.53K","0.69%"
"2015년 04월 02일","254.99","256.07","256.37","254.70","76.75K","0.01%"
"2015년 04월 01일","254.97","256.44","256.75","254.74","83.09K","-0.90%"
"2015년 03월 31일","257.28","257.66","258.43","256.16","83.46K","0.46%"
"2015년 03월 30일","256.10","256.45","256.57","254.91","68.98K","0.22%"
"2015년 03월 27일","255.54","256.41","256.73","255.10","72.67K","-0.18%"
"2015년 03월 26일","255.99","256.69","258.08","255.81","78.16K","-1.14%"
"2015년 03월 25일","258.94","259.35","259.84","258.38","84.76K","-0.08%"
"2015년 03월 24일","259.16","258.58","259.34","257.56","71.44K","0.08%"
"2015년 03월 23일","258.95","259.48","259.88","258.16","84.49K","0.10%"
"2015년 03월 20일","258.70","258.92","259.32","257.42","81.30K","-0.11%"
"2015년 03월 19일","258.99","260.68","260.68","258.37","120.60K","0.30%"
